strain	brigg_length_estimate	group
QG934	7	430
QG936	10	525
QG937	10	525
QG938	3	416
QG939	15	558
QG941	17	417
QG944	16	417
QG945	11	562
QG946	12	563
QG947	7	564
QG948	12	565
QG949	3	566
QG950	7	566
QG951	6	566
QG952	16	567
QG973	7	537
QG977	5	415
QG978	7	537
QG979	5	430
QG980	2	533
QG982	7	557
QG983	11	557
QG985	20	417
QG986	7	566
QG988	7	415
QG991	4	530
QG992	3	530
QG993	7	412
QG994	11	568
QG995	7	569
QG996	2	566
QG997	5	570
QG998	12	558
QR24	6	221
QR25	8	221
QX1410	6	571
QX1414	3	410
QX1545	4	410
QX1547	10	572
QX1795	10	573
QX1796	6	574
QX1797	5	98
QX1798	7	575
QX1800	6	576
QX1801	3	577
QX1802	5	578
QX1803	5	579
QX1804	5	580
TWN1772	5	581
TWN1824	3	582
TWN1899	5	69
TWN1907	6	583
TWN2919	3	584
TWN3077	5	585
UH1	6	586
VT847	4	587
VX0034	7	588
XZ1204	5	589
XZ1205	6	590
XZ1206	6	591
XZ1207	4	592
XZ1208	6	178
XZ1209	5	178
XZ1210	5	593
XZ1211	7	589
XZ1212	6	594
XZ1213	5	595
XZ1731	6	596
XZ1732	5	597
XZ1733	3	597
YR88	3	94
ZZY405	5	598
