ReadGroup	Length_estimate
[NIC1656.bam]	171.611
[NIC1257.bam]	152.998
[ECA1300.bam]	139.71
[QG3829.bam]	290.677
[NIC294.bam]	180.727
[NIC1565.bam]	146.525
[NIC1430.bam]	152.73
[NIC1409.bam]	156.812
[NIC1914.bam]	209.162
[ECA1583.bam]	90.1752
[NIC284.bam]	233.009
[QG3800.bam]	124.465
[NIC1596.bam]	147.458
[NIC929.bam]	176.88
[NIC1563.bam]	156.316
[QG2773.bam]	174.534
[NIC1284.bam]	173.526
[NIC977.bam]	146.084
[JU1845.bam]	172.191
[NIC572.bam]	182.599
[NIC1252.bam]	168.92
[QG837.bam]	132.119
[QG987.bam]	113.988
[JU1847.bam]	224.165
[QG3522.bam]	221.969
[NIC1919.bam]	161.711
[NIC53.bam]	110.441
[NIC1400.bam]	148.366
[NIC1408.bam]	168.593
[NIC396.bam]	244.34
[NIC125.bam]	157.264
[NIC547.bam]	170.249
[NIC1453.bam]	174.414
[NIC909.bam]	209.929
[NIC1649.bam]	152.522
[NIC1305.bam]	146.334
[NIC1309.bam]	136.911
[NIC1386.bam]	185.639
[QG3533.bam]	439.285
[QG3038.bam]	98.2048
[NIC1301.bam]	176.208
[NIC1282.bam]	188.783
[NIC1550.bam]	157.6
[ECA791.bam]	165.426
[NIC948.bam]	186.88
[QG839.bam]	152.114
[QG3008.bam]	128.34
[ECA1302.bam]	125.577
[NIC1558.bam]	123.83
[NIC1651.bam]	118.546
[QG2724.bam]	173.769
[NIC314.bam]	152.136
[NIC970.bam]	170.377
[ECA1451.bam]	146.813
[ECA1518.bam]	86.45
[NIC942.bam]	143.122
[QG3520.bam]	149.44
[ECA1307.bam]	137.78
[NIC753.bam]	125.862
[ECA1305.bam]	116.943
[NIC1029.bam]	133.778
[NIC957.bam]	133.977
[NIC1939.bam]	209.692
[NIC1000.bam]	189.3
[QG3799.bam]	128.211
[NIC1363.bam]	171.679
[QG3862.bam]	153.644
[QG3549.bam]	268.454
[NIC1960.bam]	175.47
[NIC1938.bam]	158.085
[QG841.bam]	123.585
[NIC917.bam]	129.532
[QG3808.bam]	114.118
[QG852.bam]	138.264
[QG3782.bam]	278.76
[ECA793.bam]	192.661
[QG849.bam]	120.576
[NIC988.bam]	164.177
[NIC912.bam]	129.645
[ECA792.bam]	175.065
[NIC1384.bam]	213.449
[NIC1560.bam]	124.375
[NIC1285.bam]	140.981
[JU1429.bam]	154.598
[NIC1548.bam]	102.46
[NIC422.bam]	193.467
[QG847.bam]	169.186
[NIC1471.bam]	162.826
[NIC1300.bam]	140.57
[JU1846.bam]	134.608
[JU1635.bam]	229.321
[NIC1323.bam]	187.613
[NIC193.bam]	165.61
[NIC1648.bam]	114.38
[QG843.bam]	134.689
[NIC436.bam]	156.452
