strain	isotype	release	isotype_ref_strain	wgs_seq
ECA2612	ECA2612	20210121	TRUE	TRUE
ECA2615	ECA2615	20210121	TRUE	TRUE
ECA2641	ECA2641	20210121	TRUE	TRUE
ECA2642	ECA2641	20210121	FALSE	TRUE
ECA2643	ECA2551	20210121	FALSE	TRUE
ECA2644	ECA2641	20210121	FALSE	TRUE
ECA2648	ECA2648	20210121	TRUE	TRUE
ECA2649	ECA2551	20210121	FALSE	TRUE
ECA2650	ECA2603	20210121	FALSE	TRUE
ECA2651	ECA2561	20210121	FALSE	TRUE
ECA2652	ECA2594	20210121	FALSE	TRUE
ECA2653	ECA2595	20210121	FALSE	TRUE
ECA2654	ECA2602	20210121	FALSE	TRUE
ECA2656	ECA2656	20210121	TRUE	TRUE
ECA2657	ECA2672	20210121	FALSE	TRUE
ECA2658	ECA2612	20210121	FALSE	TRUE
ECA2659	ECA2659	20210121	TRUE	TRUE
ECA2660	ECA2660	20210121	TRUE	TRUE
ECA2672	ECA2672	20210121	TRUE	TRUE
ECA2673	ECA2551	20210121	FALSE	TRUE
ECA2674	ECA2551	20210121	FALSE	TRUE
ECA2675	ECA2609	20210121	FALSE	TRUE
ECA2676	ECA2676	20210121	TRUE	TRUE
ECA347	ECA347	20180413	TRUE	TRUE
ECA348	ECA348	20170531	TRUE	TRUE
ECA349	ECA349	20170531	TRUE	TRUE
ECA350	ECA349	20170531	FALSE	TRUE
ECA36	ECA36	20160408	TRUE	TRUE
ECA363	ECA363	20170531	TRUE	TRUE
ECA369	ECA369	20170531	TRUE	TRUE
ECA372	ECA372	20170531	TRUE	TRUE
ECA393	ECA189	20170531	FALSE	TRUE
ECA394	ECA189	20180413	FALSE	TRUE
ECA395	ECA189	20170531	FALSE	TRUE
ECA396	ECA396	20170531	TRUE	TRUE
ECA397	ECA396	20170531	FALSE	TRUE
ECA398	ECA396	20170531	FALSE	TRUE
ECA399	ECA396	20170531	FALSE	TRUE
ECA551	JU311	20170531	FALSE	TRUE
ECA552	MY2573	20180413	FALSE	TRUE
ECA571	ED3073	20180413	FALSE	TRUE
ECA572	ED3073	20180413	FALSE	TRUE
ECA589	JU1395	20160408	FALSE	TRUE
ECA592	ECA592	20180413	TRUE	TRUE
ECA593	ECA593	20180413	TRUE	TRUE
ECA594	ECA594	20180413	TRUE	TRUE
ECA615	JU1581	20170531	FALSE	TRUE
ECA616	JU1530	20160408	FALSE	TRUE
