strain	length_estimate
NIC2002	155.184
NIC2004	171.112
NIC2011	131.072
NIC207	1315.9
NIC231	158.636
NIC232	242.358
NIC236	145.035
NIC237	217.827
NIC242	242.896
NIC251	198.386
NIC252	124.754
NIC255	455.131
NIC256	185.652
NIC258	237.61
NIC259	223.449
NIC260	142.921
NIC261	209.33
NIC262	448.48
NIC263	244.757
NIC265	116.398
NIC266	422.191
NIC267	108.683
NIC268	168.717
NIC269	206.554
NIC270	109.962
NIC271	230.279
NIC272	131.442
NIC273	98.9153
NIC274	53.6572
NIC275	272.499
NIC276	120.22
NIC277	169.467
NIC3	64.5161
NIC4	225.195
NIC501	93.9134
NIC508	260.057
NIC511	98.7148
NIC512	331.917
NIC513	125.045
NIC514	341.743
NIC515	258.76
NIC521	135.657
NIC522	275.922
NIC523	86.6102
NIC526	366.672
NIC527	137.811
NIC528	111.149
NIC529	150.222
PB303	696.373
PS2025	162.211
PX179	188.509
QG2075	237.989
QG2810	146.115
QG2811	154.472
QG2812	140.938
QG2813	139.268
QG2818	132.254
QG2823	406.855
QG2824	139.427
QG2825	142.245
QG2826	374.23
QG2827	137.467
QG2828	140.026
QG2829	133.071
QG2830	156.634
QG2831	165.297
QG2832	145.276
QG2833	134.113
QG2834	138.636
QG2835	144.894
QG2836	134.956
QG2837	154.522
QG2838	165.814
QG2839	140.992
QG2840	143.635
QG2841	142.392
QG2842	145.777
QG2843	146.906
QG2844	133.917
QG2845	142.549
QG2846	132.508
QG2850	131.314
QG2851	134.713
QG2852	124.6
QG2853	129.801
QG2854	137.365
QG2855	134.926
QG2856	134.062
QG2857	127.98
QG2858	134.063
QG2859	126.56
QG2872	155.927
QG2873	158.263
QG2874	162.262
QG2875	132.955
QG2876	131.711
QG2877	135.961
QG2878	125.578
QG2927	131.109
QG2928	123.641
QG2931	132.003
QG2932	143.689
QG4003	187.844
QG4004	195.548
QG4005	185.787
QG4006	213.291
QG4008	191.41
QG4009	182.876
QG4010	255.507
QG4011	271.903
QG4012	265.627
QG4014	241.948
QG4015	221.39
QG4016	210.784
QG4017	258.546
QG4018	216.983
QG4019	181.255
