strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
ECA1805	373.152	ECA1805	20210121	TRUE	TRUE
ECA1807	240.125	ECA1807	20210121	TRUE	TRUE
ECA1809	256.824	ECA1815	20210121	FALSE	TRUE
ECA1811	249.495	ECA1815	20210121	FALSE	TRUE
ECA1813	313.048	ECA1815	20210121	FALSE	TRUE
ECA1815	278.289	ECA1815	20210121	TRUE	TRUE
ECA1817	264.404	ECA1815	20210121	FALSE	TRUE
ECA1819	278.341	ECA1815	20210121	FALSE	TRUE
ECA1821	263.668	ECA1821	20210121	TRUE	TRUE
ECA1823	230.569	ECA1821	20210121	FALSE	TRUE
ECA1825	448.122	ECA1825	20210121	TRUE	TRUE
ECA1827	198.531	ECA2336	20210121	FALSE	TRUE
ECA1829	195.435	ECA2336	20210121	FALSE	TRUE
ECA1831	90.9147	ECA1825	20210121	FALSE	TRUE
ECA1833	190.212	ECA2336	20210121	FALSE	TRUE
ECA1835	97.9236	ECA1843	20210121	FALSE	TRUE
ECA1837	158.259	ECA1843	20210121	FALSE	TRUE
ECA1839	136.872	ECA1843	20210121	FALSE	TRUE
ECA1841	92.3378	ECA1843	20210121	FALSE	TRUE
ECA1843	119.521	ECA1843	20210121	TRUE	TRUE
ECA1845	232.651	ECA1885	20210121	FALSE	TRUE
ECA1847	368.833	ECA1885	20210121	FALSE	TRUE
ECA1849	391.381	ECA1885	20210121	FALSE	TRUE
ECA1851	369.854	ECA1851	20210121	TRUE	TRUE
ECA1853	235.535	ECA1853	20210121	TRUE	TRUE
ECA1855	201.339	ECA1853	20210121	FALSE	TRUE
ECA1857	197.6	ECA1853	20210121	FALSE	TRUE
ECA1859	154.102	ECA1853	20210121	FALSE	TRUE
ECA1861	114.051	ECA1919	20210121	FALSE	TRUE
ECA1863	182.52	ECA1919	20210121	FALSE	TRUE
ECA1865	213.705	ECA1919	20210121	FALSE	TRUE
ECA1867	221.837	ECA1919	20210121	FALSE	TRUE
ECA1869	398.372	ECA1919	20210121	FALSE	TRUE
ECA1871	409.797	ECA1919	20210121	FALSE	TRUE
ECA1873	372.342	ECA1901	20210121	FALSE	TRUE
ECA1875	477.507	ECA1875	20210121	TRUE	TRUE
ECA1877	153.012	ECA2336	20210121	FALSE	TRUE
ECA1878	168.942	ECA741	20210121	FALSE	TRUE
ECA1885	194.177	ECA1885	20210121	TRUE	TRUE
ECA1887	180.744	ECA1887	20210121	TRUE	TRUE
ECA1889	198.232	ECA1889	20210121	TRUE	TRUE
ECA189	358.412	ECA189	20170531	TRUE	TRUE
ECA1891	173.925	ECA1891	20210121	TRUE	TRUE
ECA1895	366.523	ECA2482	20210121	FALSE	TRUE
ECA1897	304.785	ECA1887	20210121	FALSE	TRUE
ECA190	409.494	ECA189	20170531	FALSE	TRUE
ECA1901	293.682	ECA1901	20210121	TRUE	TRUE
ECA1903	442.778	ECA1889	20210121	FALSE	TRUE
ECA1907	165.687	ECA2336	20210121	FALSE	TRUE
ECA1909	180.521	ECA2473	20210121	FALSE	TRUE
ECA191	219.639	ECA191	20170531	TRUE	TRUE
ECA1911	155.34	ECA2473	20210121	FALSE	TRUE
ECA1913	158.361	ECA2443	20210121	FALSE	TRUE
ECA1915	162.842	ECA2443	20210121	FALSE	TRUE
ECA1917	208.431	ECA2443	20210121	FALSE	TRUE
ECA1919	250.941	ECA1919	20210121	TRUE	TRUE
ECA192	373.173	ECA189	20170531	FALSE	TRUE
ECA1921	225.397	ECA1919	20210121	FALSE	TRUE
ECA1923	198.384	ECA1919	20210121	FALSE	TRUE
ECA1925	250.467	ECA1925	20210121	TRUE	TRUE
ECA1927	199.255	ECA1919	20210121	FALSE	TRUE
ECA1929	384.076	ECA1919	20210121	FALSE	TRUE
ECA193	273.233	ECA189	20170531	FALSE	TRUE
ECA1931	389.997	ECA1875	20210121	FALSE	TRUE
ECA1933	349.748	ECA1875	20210121	FALSE	TRUE
ECA1935	430.266	ECA1919	20210121	FALSE	TRUE
ECA1937	286.893	ECA1937	20210121	TRUE	TRUE
ECA1939	582.012	ECA1939	20210121	TRUE	TRUE
ECA1943	452.431	ECA1943	20210121	TRUE	TRUE
ECA1951	556.824	ECA1939	20210121	FALSE	TRUE
ECA1953	531.01	ECA1939	20210121	FALSE	TRUE
ECA1967	202.405	ECA1977	20210121	FALSE	TRUE
ECA1969	159.57	ECA1969	20210121	TRUE	TRUE
ECA1971	333.158	ECA1977	20210121	FALSE	TRUE
ECA1973	384.527	ECA1206	20210121	FALSE	TRUE
ECA1975	180.467	ECA1281	20210121	FALSE	TRUE
ECA1977	186.41	ECA1977	20210121	TRUE	TRUE
ECA1979	514.354	ECA1206	20210121	FALSE	TRUE
ECA1981	181.333	ECA1977	20210121	FALSE	TRUE
ECA1983	193.655	ECA1206	20210121	FALSE	TRUE
ECA1985	185.529	ECA1977	20210121	FALSE	TRUE
ECA1987	411.331	ECA1281	20210121	FALSE	TRUE
ECA1989	196.286	ECA1281	20210121	FALSE	TRUE
ECA1991	207.725	ECA1281	20210121	FALSE	TRUE
ECA1995	169.582	ECA1997	20210121	FALSE	TRUE
ECA1997	328.854	ECA1997	20210121	TRUE	TRUE
ECA2041	247.684	ECA2041	20210121	TRUE	TRUE
ECA2043	286.486	ECA2043	20210121	TRUE	TRUE
ECA2065	362.815	ECA2073	20210121	FALSE	TRUE
ECA2067	316.775	ECA2073	20210121	FALSE	TRUE
ECA2069	354.473	ECA2073	20210121	FALSE	TRUE
ECA2071	309.223	ECA2073	20210121	FALSE	TRUE
ECA2073	326.209	ECA2073	20210121	TRUE	TRUE
ECA2075	288.329	ECA2073	20210121	FALSE	TRUE
ECA2079	341.919	ECA2081	20210121	FALSE	TRUE
ECA2081	369.64	ECA2081	20210121	TRUE	TRUE
ECA2085	385.757	ECA2081	20210121	FALSE	TRUE
ECA2091	187.167	ECA2091	20210121	TRUE	TRUE
ECA2095	141.027	ECA2195	20210121	FALSE	TRUE
ECA2097	119.224	ECA2195	20210121	FALSE	TRUE
ECA2099	335.857	ECA2151	20210121	FALSE	TRUE
ECA2101	188.106	ECA2091	20210121	FALSE	TRUE
ECA2103	200.646	ECA2091	20210121	FALSE	TRUE
ECA2107	176.223	ECA2111	20210121	FALSE	TRUE
ECA2109	195.342	ECA2109	20210121	TRUE	TRUE
ECA2111	154.159	ECA2111	20210121	TRUE	TRUE
ECA2117	202.207	ECA2151	20210121	FALSE	TRUE
ECA2119	177.173	ECA2119	20210121	TRUE	TRUE
ECA2121	150.573	ECA1793	20210121	FALSE	TRUE
ECA2122	195.111	ECA2151	20210121	FALSE	TRUE
ECA2125	221.787	ECA2281	20210121	FALSE	TRUE
ECA2127	192.778	ECA2151	20210121	FALSE	TRUE
ECA2131	222.41	ECA2151	20210121	FALSE	TRUE
ECA2135	163.868	ECA2187	20210121	FALSE	TRUE
ECA2139	165.726	ECA2187	20210121	FALSE	TRUE
ECA2143	186.392	ECA2151	20210121	FALSE	TRUE
ECA2147	188.517	ECA2151	20210121	FALSE	TRUE
ECA2151	194.635	ECA2151	20210121	TRUE	TRUE
ECA2155	206.485	ECA2155	20210121	TRUE	TRUE
ECA2159	196.021	ECA2159	20210121	TRUE	TRUE
ECA2163	202.763	ECA2159	20210121	FALSE	TRUE
ECA2167	205.152	ECA2151	20210121	FALSE	TRUE
ECA2171	207.763	ECA2151	20210121	FALSE	TRUE
ECA2175	196.961	ECA2151	20210121	FALSE	TRUE
ECA2179	176.656	ECA2187	20210121	FALSE	TRUE
ECA2183	141.182	ECA2183	20210121	TRUE	TRUE
ECA2187	168.804	ECA2187	20210121	TRUE	TRUE
ECA2191	164.556	ECA2191	20210121	TRUE	TRUE
ECA2195	128.061	ECA2195	20210121	TRUE	TRUE
ECA2199	226.066	ECA2199	20210121	TRUE	TRUE
ECA2203	137.108	ECA2195	20210121	FALSE	TRUE
ECA2207	126.144	ECA2195	20210121	FALSE	TRUE
ECA2247	520.646	ECA2489	20210121	FALSE	TRUE
ECA2249	344.075	ECA2473	20210121	FALSE	TRUE
ECA2251	510.723	ECA2251	20210121	TRUE	TRUE
ECA2253	313.824	ECA2482	20210121	FALSE	TRUE
ECA2255	338.87	ECA2473	20210121	FALSE	TRUE
ECA2281	195.554	ECA2281	20210121	TRUE	TRUE
ECA2283	208.246	ECA2281	20210121	FALSE	TRUE
ECA2285	214.749	ECA2281	20210121	FALSE	TRUE
ECA2287	196.675	ECA2281	20210121	FALSE	TRUE
ECA2289	145.761	ECA2336	20210121	FALSE	TRUE
ECA2291	150.283	ECA2291	20210121	TRUE	TRUE
ECA2307	138.804	ECA741	20210121	FALSE	TRUE
ECA2309	206.974	ECA2091	20210121	FALSE	TRUE
ECA2311	226.418	ECA2091	20210121	FALSE	TRUE
ECA2313	198.847	ECA2091	20210121	FALSE	TRUE
ECA2315	204.347	ECA2091	20210121	FALSE	TRUE
ECA2319	157.894	ECA2336	20210121	FALSE	TRUE
ECA2321	175.925	ECA1757	20210121	FALSE	TRUE
ECA2322	255.957	ECA1757	20210121	FALSE	TRUE
ECA2324	383.489	ECA1853	20210121	FALSE	TRUE
ECA2326	404.812	ECA2332	20210121	FALSE	TRUE
ECA2328	357.479	ECA2332	20210121	FALSE	TRUE
ECA2330	325.549	ECA2332	20210121	FALSE	TRUE
ECA2332	400.119	ECA2332	20210121	TRUE	TRUE
ECA2334	455.298	ECA2334	20210121	TRUE	TRUE
