strain	LENGTH_ESTIMATE
[ECA2586.bam]	194.355
[ECA778.bam]	293.537
[JU830.bam]	228.111
[ECA719.bam]	235.801
[MY538.bam]	207.33
[ECA2467.bam]	235.934
[LKC34.bam]	364.793
[WN2076.bam]	260.604
[JU2131.bam]	119.824
[JU2566.bam]	151.977
[ECA1823.bam]	230.569
[JU3127.bam]	213.181
[ECA1073.bam]	110.184
[ECA2324.bam]	383.489
[WN2082.bam]	154.241
[ECA2551.bam]	157.35
[QG4021.bam]	198.277
[NIC262.bam]	448.48
[ECA2529.bam]	271.147
[ECA1791.bam]	177.484
[WN2080.bam]	150.509
[ECA1272.bam]	221.01
[ECA2579.bam]	145.206
[ECA2567.bam]	173.235
[ECA756.bam]	111.351
[JU3271.bam]	129.656
[JU2593.bam]	178.808
[ECA1875.bam]	477.507
[ECA2581.bam]	232.959
[NIC261.bam]	209.33
[QG2859.bam]	126.56
[JU3135.bam]	164.506
[JU2825.bam]	231.221
[ECA785.bam]	287.694
[MY2014.bam]	180.754
[JU775.bam]	630.629
[ECA1981.bam]	181.333
[PX179.bam]	188.509
[JU2829.bam]	68.9565
[MY2042.bam]	148.351
[ECA1389.bam]	185.005
[DL226.bam]	145.521
[ECA2338.bam]	211.275
[NIC166.bam]	273.463
[ECA2065.bam]	362.815
[ECA1829.bam]	195.435
[QX1792.bam]	304.835
[NIC1802.bam]	200.339
[JU1931.bam]	105.897
[ECA1817.bam]	264.404
[MY713.bam]	151.53
[ECA1843.bam]	119.521
[QG2840.bam]	143.635
[ECA2566.bam]	182.389
[NIC2011.bam]	131.072
[ECA2599.bam]	283.641
[ECA1837.bam]	158.259
[ECA735.bam]	174.583
[ECA2571.bam]	252.298
[ECA2596.bam]	182.771
[JU3228.bam]	257.977
[ECA2203.bam]	137.108
[MY904.bam]	154.08
[WN2011.bam]	427.745
[ECA593.bam]	331.307
[ECA1074.bam]	110.873
[QG2855.bam]	134.926
[ECA2344.bam]	351.095
[ECA1234.bam]	163.36
[ECA1769.bam]	277.593
[MY2541.bam]	235.342
[ECA2075.bam]	288.329
[NIC508.bam]	260.057
[MY16.bam]	447.511
[MY559.bam]	125.177
[ECA771.bam]	129.283
[ECA1247.bam]	215.468
[ECA1220.bam]	196.25
[QG2844.bam]	133.917
[ECA2678.bam]	213.67
[JU1530.bam]	254.615
[ECA1869.bam]	398.372
[QG4079.bam]	203.382
[ECA1737.bam]	368.03
[MY2741.bam]	172.862
[NIC265.bam]	116.398
[ECA2415.bam]	191.105
[ED3046.bam]	265.927
[MY2535.bam]	171.512
[ECA695.bam]	230.498
[ECA243.bam]	291.623
[ECA2439.bam]	186.711
[ECA1267.bam]	173.278
[JU4047.bam]	141.489
[NIC269.bam]	206.554
[WN2060.bam]	171.087
[ECA1971.bam]	333.158
[ECA2099.bam]	335.857
[ECA2528.bam]	195.643
[ECA2283.bam]	208.246
[ECA2159.bam]	196.021
[JU1400.bam]	93.8886
[ECA1969.bam]	159.57
[JU2570.bam]	86.3859
[JU2257.bam]	104.434
[MY2502.bam]	223.825
[ECA1809.bam]	256.824
[ECA1194.bam]	186.798
[ECA2073.bam]	326.209
[JU4075.bam]	145.344
[NIC522.bam]	275.922
[JU2853.bam]	126.187
[ECA1283.bam]	224.339
[ECA812.bam]	181.12
[ECA1923.bam]	198.384
[ECA2609.bam]	220.032
[ECA1745.bam]	219.925
[ECA2043.bam]	286.486
[ECA769.bam]	218.131
[ECA1385.bam]	246.688
[NIC270.bam]	109.962
[MY679.bam]	194.825
[ECA2473.bam]	201.094
[NIC1107.bam]	140.348
[ECA2559.bam]	225.282
[MY2684.bam]	606.14
[ECA1911.bam]	155.34
[JU346.bam]	322.057
[ED3049.bam]	607.784
[ECA758.bam]	166.177
[ECA2356.bam]	247.068
[QG4077.bam]	195.525
[NIC236.bam]	145.035
[JU2619.bam]	75.006
[ECA2524.bam]	171.228
[JU440.bam]	129.241
[JU642.bam]	122.901
[ECA1205.bam]	182.769
[MY2001.bam]	189.321
[MY2078.bam]	997.135
[WN2091.bam]	141.548
[QG4163.bam]	242.638
[JU2460.bam]	52.1519
[ECA1997.bam]	328.854
[WN2017.bam]	274.993
[QG4015.bam]	221.39
[QG2876.bam]	131.711
[ECA2534.bam]	258.119
[JU1543.bam]	223.569
[ECA2091.bam]	187.167
[QG4166.bam]	207.76
[JU3131.bam]	284.218
[ECA1210.bam]	184.083
[XZ1735.bam]	139.846
[WN2090.bam]	149.499
[JU3169.bam]	62.9852
[MY2530.bam]	130.751
[MY673.bam]	241.517
[ECA2103.bam]	200.646
[ECA1718.bam]	196.466
[ECA2602.bam]	246.447
[ECA1807.bam]	240.125
[ECA2600.bam]	335.25
[XZ1516.bam]	78.3406
[NIC198.bam]	233.617
[ECA1877.bam]	153.012
[ECA2330.bam]	325.549
[ECA398.bam]	378.634
[ECA1889.bam]	198.232
[MY2051.bam]	334.529
[QG2826.bam]	374.23
[ECA2167.bam]	205.152
[JU792.bam]	114.749
[ECA2642.bam]	158.84
[ECA2558.bam]	235.233
[CB4854.bam]	178.05
[JU2879.bam]	97.3007
[ECA1741.bam]	386.906
[ECA1821.bam]	263.668
[QG2833.bam]	134.113
[ECA1252.bam]	198.444
[JU2581.bam]	143.719
[ECA2313.bam]	198.847
[JU3142.bam]	206.372
[MY10.bam]	175.377
[ECA766.bam]	252.49
[ECA1222.bam]	151.614
[JU3224.bam]	161.018
[MY684.bam]	664.252
[ECA1913.bam]	158.361
[ECA770.bam]	138.544
[ECA2352.bam]	260.942
[JU315.bam]	119.723
[ECA2336.bam]	156.702
[MY2291.bam]	548.679
[JU1934.bam]	112.487
[NIC1604.bam]	137.76
[JU1793.bam]	138.814
[NIC274.bam]	53.6572
[ECA1238.bam]	181.413
[ECA1264.bam]	191.107
[MY792.bam]	136.854
[ECA740.bam]	57.2268
[ECA747.bam]	154.119
[ECA1294.bam]	175.036
[QG2838.bam]	165.814
[WN2050.bam]	133.27
[MY570.bam]	146.906
[ECA2565.bam]	173.401
[ECA731.bam]	176.394
[ECA348.bam]	412.149
[ECA259.bam]	305.644
[ECA2548.bam]	165.993
[ECA1260.bam]	190.72
[ECA589.bam]	111.801
[NIC1805.bam]	303.398
[ECA1191.bam]	171.385
[MY881.bam]	153.532
[TWN2530.bam]	175.071
[NIC277.bam]	169.467
[ECA783.bam]	218.67
[JU2534.bam]	361.603
[ECA1192.bam]	173.38
[ECA762.bam]	189.837
[ECA2477.bam]	98.7095
[ECA1287.bam]	192.076
[QX1794.bam]	512.429
[NIC1779.bam]	258.153
[JU3795.bam]	174.16
[MY2681.bam]	662.008
[ECA702.bam]	173.578
[MY2481.bam]	285.171
[ECA1785.bam]	193.608
[ECA2097.bam]	119.224
[ECA2081.bam]	369.64
[ECA1273.bam]	188.22
[JU2513.bam]	113.466
[ECA2555.bam]	166.599
[ECA773.bam]	162.498
[JU2587.bam]	299.395
[ECA1867.bam]	221.837
[MY2143.bam]	182.506
[JU3403.bam]	139.368
[ECA1925.bam]	250.467
[JU394.bam]	307.89
[ECA2119.bam]	177.173
[ECA2570.bam]	153.151
[QG4012.bam]	265.627
[XZ1514.bam]	120.969
[ECA1839.bam]	136.872
[JU774.bam]	137.252
[ECA2358.bam]	284.032
[NIC260.bam]	142.921
[WN2066.bam]	143.642
[JU2811.bam]	122.103
[WN2033.bam]	247.594
[JU345.bam]	145.811
[JU2586.bam]	295.094
[ECA592.bam]	78.5206
[ECA1193.bam]	164.512
[ECA786.bam]	183.557
[MY2142.bam]	132.495
[QG4137.bam]	222.633
[ECA2289.bam]	145.761
[JU2605.bam]	178.424
[ECA2377.bam]	177.042
[ECA1897.bam]	304.785
[ECA2309.bam]	206.974
[CB4856.bam]	262.276
[JU2841.bam]	75.1633
[ECA1709.bam]	209.688
[ECA2365.bam]	119.588
[ECA2421.bam]	212.801
[ECA2281.bam]	195.554
[MY2406.bam]	159.56
[JU393.bam]	157.153
[ECA2573.bam]	225.129
[MY2212.bam]	225.107
[BRC20067.bam]	121.403
[NIC527.bam]	137.811
[JU3227.bam]	258.684
[ECA2405.bam]	182.118
[QG4011.bam]	271.903
[ECA1973.bam]	384.527
[ECA1919.bam]	250.941
[ECA2612.bam]	473.624
[ECA1277.bam]	153.585
[NIC271.bam]	230.279
[ED3011.bam]	781.674
