ReadGroup	length_estimate
[QG3827.bam]	24.7227
[QG2664.bam]	104.252
[JU3321.bam]	103.327
[JU2056.bam]	38.6108
[ECA2618.bam]	42.4624
[QG1154.bam]	32.0125
[QG752.bam]	59.8835
[XZ1731.bam]	64.3371
[NIC1090.bam]	80.56
[ECA2638.bam]	28.5931
[NIC173.bam]	91.3592
[ECA1643.bam]	64.6581
[QG3864.bam]	36.7581
[NIC509.bam]	90.2633
[NIC123.bam]	89.812
[JU2252.bam]	60.7424
[BRC20088.bam]	97.1004
[QG4072.bam]	69.2038
[QG572.bam]	52.0132
[QG755.bam]	164.519
[ECA162.bam]	55.7309
[JU2588.bam]	63.225
[BRC20086.bam]	12.4138
[ECA2628.bam]	67.8581
[QG797.bam]	50.3762
[NIC86.bam]	55.8259
[NIC1442.bam]	39.1228
[ECA2457.bam]	37.1791
[JU4041.bam]	44.4922
[ED3092.bam]	53.3871
[QG1101.bam]	49.7812
[JU846.bam]	62.4251
[ECA1569.bam]	40.9303
[NIC1053.bam]	43.2443
[QG980.bam]	23.9326
[XZ1208.bam]	69.8881
[NIC1186.bam]	57.1905
[NIC758.bam]	55.0272
[ED3097.bam]	71.3538
[QG735.bam]	192.839
[QG3925.bam]	95.2865
[JU1802.bam]	51.3549
[QG2819.bam]	108.384
[ECA1174.bam]	55.4714
[NIC109.bam]	54.2178
[ECA1176.bam]	60.5335
[QG879.bam]	90.0905
[ECA357.bam]	41.8849
[JU1999.bam]	93.3938
[QG1125.bam]	137.812
[QG2728.bam]	52.9543
[ECA1653.bam]	206.719
[JU1343.bam]	96.6404
[QG1124.bam]	104.044
[JU3199.bam]	76.0586
[NIC1158.bam]	111.145
[JU1529.bam]	78.636
[NIC29.bam]	63.3249
[NIC303.bam]	69.2989
[QG2671.bam]	48.864
[BRC20333.bam]	38.022
[ECA1143.bam]	73.4728
[QG4061.bam]	37.4288
[NIC1660.bam]	53.3168
[JU2225.bam]	82.6551
[ECA1547.bam]	44.7406
[BRC20224.bam]	31.7164
[JU2223.bam]	76.174
[QG884.bam]	139.957
[JU1042.bam]	89.0848
[QG3039.bam]	76.9006
[ECA1595.bam]	69.0249
[QG798.bam]	181.579
[BRC20098.bam]	59.5431
[JU3204.bam]	45.3906
[QG833.bam]	61.41
[JU2579.bam]	72.1749
[MY683.bam]	94.8908
[NIC19.bam]	38.3177
[QG2660.bam]	91.5567
[QG724.bam]	32.2384
[JU2184.bam]	88.7556
[JU1339.bam]	89.2625
[QG2910.bam]	44.586
[QG725.bam]	20.7745
[QG2742.bam]	149.734
[MY771.bam]	49.2796
[BRC20341.bam]	61.1888
[QG3876.bam]	23.4111
[ECA2661.bam]	63.2319
[ECA1565.bam]	28.4761
[NIC865.bam]	27.9426
[VX0034.bam]	76.3018
[ECA569.bam]	53.8314
[JU381.bam]	115.358
[BRC20308.bam]	79.4673
[ECA1158.bam]	16.5178
[JU2472.bam]	47.7917
[ECA188.bam]	34.2412
[ECA2297.bam]	39.2249
[ECA2083.bam]	147.794
[QG973.bam]	84.5303
[NIC80.bam]	53.6268
[JU4097.bam]	80.7709
[QG883.bam]	176.654
[JU2836.bam]	66.0886
[QG4058.bam]	43.4432
[JU795.bam]	88.9762
[EG6179.bam]	46.7571
[QG2902.bam]	127.391
[QG571.bam]	36.9481
[QG4099.bam]	65.2344
[JU350.bam]	86.7273
[NIC810.bam]	80.5753
[NIC1100.bam]	43.6231
[JU1049.bam]	87.694
[QG570.bam]	55.5267
[MY2748.bam]	37.4259
[NIC1407.bam]	159.008
[ECA2277.bam]	123.334
[NIC292.bam]	81.7733
[JU441.bam]	100.304
[QG2682.bam]	101.847
[QG2883.bam]	102.259
[QG765.bam]	70.8492
[NIC1635.bam]	44.0663
[QG4120.bam]	31.9759
[ECA2616.bam]	187.203
[QG825.bam]	95.8861
[JU2185.bam]	72.2388
[BRC20346.bam]	62.0547
[QG2884.bam]	103.177
[UH1.bam]	65.076
[BRC20370.bam]	109.38
[QG3018.bam]	58.795
[EG4207.bam]	25.2027
[EG5613.bam]	50.5967
[ECA1179.bam]	58.8123
[NIC1598.bam]	53.4114
[JU2824.bam]	119.308
[ECA1511.bam]	48.0003
[QG1132.bam]	48.6838
[NIC64.bam]	113.11
[NIC1143.bam]	34.8299
[NIC1288.bam]	130.726
[QG988.bam]	78.8123
[ECA1164.bam]	54.4325
[NIC71.bam]	60.7071
[ECA1457.bam]	34.4545
[ED3101.bam]	68.5947
[JU1348.bam]	18.5016
[ECA1621.bam]	64.651
[ECA1617.bam]	34.1178
[NIC36.bam]	77.3062
[NIC1413.bam]	64.4397
[NIC174.bam]	75.7134
[QG2923.bam]	69.1523
[QG3851.bam]	30.0037
